id,name,realName
594,593,Todiramphus chloris,Collared kingfisher
595,594,Grus americana,Whooping crane
596,595,Himantopus himantopus,Black-winged stilt
597,596,Glaucidium gnoma,Mountain pygmy owl
598,597,Circus approximans,Swamp harrier
599,598,Circus aeruginosus,Western marsh harrier
600,599,Phalacrocorax sulcirostris,Little black cormorant
601,600,Buteo albonotatus,Zone-tailed hawk
602,601,Butorides striata,Striated heron
603,602,Platalea ajaja,Roseate spoonbill
604,603,Buteo brachyurus,Short-tailed hawk
605,604,Ardea alba,Great egret
606,605,Buteo swainsoni,Swainson's hawk
607,606,Alectoris rufa,Red-legged partridge
608,607,Buteo lineatus,Red-shouldered hawk
609,608,Buteo jamaicensis,Red-tailed hawk
